position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
A1,2999,B_23,f,E659_23,CL823_24,28/1/2024,18/5/2024,111,,2,3 VS 4,Left,Far,0,3621,3470,3470,48,67,-19,-0.165217391,Right
A1,3061,A_28,f,E755_23,CL840_24,8/1/2024,18/5/2024,131,,2,2 VS 4,Left,Close,1,216,812,216,129,101,28,0.12173913,Left
A2,2893,A_23,m,E338_23,CL798_24,24/1/2024,18/5/2024,115,,2,1 VS 4,Left,Far,0,316,110,110,27,149,-122,-0.693181818,Right
A2,3058,A_28,f,E171_23,CL839_24,10/1/2024,18/5/2024,129,,2,1 VS 3,Right,Far,0,499,453,453,40,58,-18,-0.183673469,Left
A2,3127,B_23,f,E714_23,CL858_24,2/2/2024,18/5/2024,106,,2,2 VS 3,Left,Close,0,424,196,196,39,102,-63,-0.446808511,Right
A3,2946,A_23,m,E681_23,CL812_24,22/1/2024,18/5/2024,117,,2,3 VS 4,Left,Close,1,246,342,246,108,32,76,0.542857143,Left
A3,2972,B_28,f,E261_23,CL818_24,5/1/2024,18/5/2024,134,,2,1 VS 3,Left,Close,1,503,572,503,117,41,76,0.481012658,Left
A3,2986,B_23,m,E648_23,CL821_24,28/1/2024,18/5/2024,111,,2,2 VS 4,Left,Far,1,142,299,142,65,51,14,0.120689655,Left
A3,3004,A_28,m,E161_23,CL824_24,8/1/2024,18/5/2024,131,,2,1 VS 4,Right,Close,0,494,443,443,20,92,-72,-0.642857143,Left
A4,2917,A_23,m,E629_23,CL805_24,22/1/2024,18/5/2024,117,,2,2 VS 3,Left,Far,1,66,379,66,195,65,130,0.5,Left
A4,3037,B_28,f,E237_23,CL832_24,8/1/2024,18/5/2024,131,,2,1 VS 4,Right,Far,0,342,278,278,115,87,28,0.138613861,Left
A4,3131,B_23,m,E3101_23,CL859_24,2/2/2024,18/5/2024,106,,2,1 VS 3,Right,Close,1,136,220,136,62,72,-10,-0.074626866,Right
B1,2942,A_28,m,E239_23,CL811_24,3/1/2024,18/5/2024,136,,2,3 VS 4,Left,Close,0,177,2666,177,108,300,-192,-0.470588235,Right
B1,2978,B_28,m,E677_23,CL819_24,5/1/2024,18/5/2024,134,Might be two clutches.,2,3 VS 4,Left,Close,0,1824,1693,1693,124,86,38,0.180952381,Right
B1,3110,B_23,f,E119_23,CL853_24,2/2/2024,18/5/2024,106,,2,1 VS 4,Left,Far,0,51,25,25,109,48,61,0.388535032,Right
